PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
64390,20210430,PGR,A,100.74,0.054701,585153,0.052425
64390,20210528,PGR,A,99.08,-0.016478,585153,0.005487
64390,20210630,PGR,A,98.21,-0.008781,585300,0.022214
64390,20210730,PGR,A,95.16,-0.030038,585200,0.022748
64390,20210831,PGR,A,96.34,0.0124,585164,0.02899
64390,20210930,PGR,A,90.39,-0.06176,585164,-0.047569
64390,20211029,PGR,A,94.88,0.05078,585000,0.069144
64390,20211130,PGR,A,92.94,-0.020447,585010,-0.008334
64390,20211231,PGR,A,102.65,0.120615,583800,0.043613
64390,20220131,PGR,A,108.66,0.059523,584400,-0.052585
64390,20220228,PGR,A,105.93,-0.025124,584400,-0.031361
64390,20220331,PGR,A,113.99,0.076088,584900,0.035773
64390,20220429,PGR,A,107.36,-0.057286,584900,-0.087957
64390,20220531,PGR,A,119.38,0.11196,584877,0.000053
64390,20220630,PGR,A,116.27,-0.026051,584900,-0.08392
64390,20220729,PGR,A,115.06,-0.009547,584900,0.091116
64390,20220831,PGR,A,122.65,0.065966,584915,-0.04244
64390,20220930,PGR,A,116.21,-0.052507,584915,-0.093396
64390,20221031,PGR,A,128.39999,0.105757,584800,0.079863
64390,20221130,PGR,A,132.14999,0.029206,585070,0.053753
64390,20221230,PGR,A,129.71001,-0.018464,585070,-0.058971
64653,20130131,PSA,A,153.92999,0.061879,171653,0.050428
64653,20130228,PSA,A,151.21001,-0.01767,171728,0.011061
64653,20130328,PSA,A,152.32001,0.015607,171728,0.035988
64653,20130430,PSA,A,165,0.083246,171800,0.018086
64653,20130531,PSA,A,151.8,-0.08,171859,0.020763
64653,20130628,PSA,A,153.33,0.018314,171859,-0.014999
64653,20130731,PSA,A,159.22,0.038414,171859,0.049462
64653,20130830,PSA,A,152.67,-0.041138,172007,-0.031298
64653,20130930,PSA,A,160.55,0.059802,172007,0.029749
64653,20131031,PSA,A,166.97,0.039988,172007,0.044596
64653,20131129,PSA,A,152.7,-0.085464,172067,0.028049
64653,20131231,PSA,A,150.52,-0.005108,172067,0.023563
64653,20140131,PSA,A,157.59,0.04697,172067,-0.035583
64653,20140228,PSA,A,169,0.072403,172121,0.043117
64653,20140331,PSA,A,168.49001,0.005266,172305,0.006932
64653,20140430,PSA,A,175.50999,0.041664,172305,0.006201
64653,20140530,PSA,A,172.38,-0.017834,172540,0.02103
64653,20140630,PSA,A,171.35001,0.002146,172540,0.019058
64653,20140731,PSA,A,171.61,0.001517,172540,-0.01508
64653,20140829,PSA,A,175.17999,0.020803,172640,0.037655
64653,20140930,PSA,A,165.84,-0.045325,172640,-0.015514
64653,20141031,PSA,A,184.34,0.111553,172640,0.023201
64653,20141128,PSA,A,187.63,0.017848,172726,0.024534
64653,20141231,PSA,A,184.85001,-0.007355,172726,-0.004189
64653,20150130,PSA,A,200.84,0.086503,172726,-0.031041
64653,20150227,PSA,A,197.22,-0.018024,172808,0.054893
64653,20150331,PSA,A,197.14,0.006693,172761,-0.017396
64653,20150430,PSA,A,187.91,-0.046819,172761,0.008521
64653,20150529,PSA,A,193.53999,0.029961,172896,0.010491
64653,20150630,PSA,A,184.37,-0.038597,172896,-0.021012
64653,20150731,PSA,A,205.17999,0.112871,172665,0.019742
64653,20150831,PSA,A,201.27,-0.019056,172967,-0.062581
64653,20150930,PSA,A,211.63,0.05992,172967,-0.026443
64653,20151030,PSA,A,229.46001,0.084251,172854,0.082983
64653,20151130,PSA,A,240.06,0.046195,173156,0.000505
64653,20151231,PSA,A,247.7,0.038907,173156,-0.01753
